popround,acouround,danceround,loudround,temporound,key
37,0.017,0.436,-8.857,80.241,9
0,0.988,0.543,-15.353,115.823,2
20.333,0.429,0.479,-9.486,82.389,7
66,0.172,0.62,-5.317,99.963,11
34,0.771,0.414,-17.827,108.59,0
0,0.946,0.416,-9.898,106.046,0
0,0.799,0.375,-15.139,100.048,8
21.448,0.862,0.392,-10.987,114.012,5
0,0.994,0.599,-10.296,131.624,11
0,0.721,0.425,-23.055,95.668,11
0,0.985,0.475,-5.571,135.044,8
0,0.949,0.464,-15.847,161.644,4
0,0.984,0.439,-8.124,106.6,4
54.778,0.569,0.527,-7.604,119.271,7
0,0.995,0.518,-9.486,109.832,6
0,0.996,0.488,-23.914,120.875,5
61,0.406,0.722,-7.46,106.449,7
30.5,0.078,0.866,-10.482,94.013,2
0,0.948,0.536,-9.758,97.89,7
21.333,0.635,0.423,-8.541,150.733,0
0,0.224,0.409,-19.638,79.765,2
18,0.012,0.62,-7.624,130.61,2
30,0.002,0.699,-8.925,97.842,1
53,0.338,0.617,-13.622,131.562,2
0,0.885,0.254,-13.37,102.525,4
0,0.222,0.633,-14.347,120.137,4
0,0.994,0.604,-23.808,113.273,9
27,0.007,0.162,-3.791,150.709,5
0,0.88,0.512,-23.356,170.668,2
72,0.23,0.688,-10.668,85.486,6
59,0.09,0.641,-10.398,79.038,7
36,0.002,0.402,-12.535,177.752,11
0,0.918,0.575,-17.463,104.025,0
43,0.968,0.176,-14.729,103.964,10
41,0.973,0.147,-35.905,133.391,7
48.636,0.89,0.334,-19.913,115.404,4
34.775,0.949,0.268,-23.062,100.41,7
28.571,0.977,0.276,-17.684,100.107,7
45.667,0.409,0.703,-7.295,127.289,2
46.75,0.865,0.437,-16.992,115.6,2
37.421,0.004,0.438,-9.537,127.66,11
46,0.067,0.417,-4.353,126.843,1
61,0.587,0.717,-13.954,123.213,0
32.833,0.143,0.539,-6.917,119.331,1
54.4,0.07,0.683,-4.923,145.925,1
0,0.001,0.455,-9.063,101.993,8
55,0.029,0.723,-6.618,103.632,11
9.905,0.674,0.382,-9.652,112.049,10
36.667,0.041,0.799,-7.605,94.226,7
3.5,0.986,0.386,-23.484,106.114,5
36.125,0.017,0.325,-7.25,124.539,1
55,0.693,0.509,-9.542,171.845,0
44,0.004,0.321,-10.374,117.853,5
0,0.003,0.795,-8.764,128.007,5
40.333,0.829,0.288,-16.549,110.866,10
29,0.346,0.64,-12.539,90.622,11
56.25,0.147,0.555,-6.062,111.178,1
49,0.284,0.572,-8.919,134.962,8
0,0.001,0.734,-6.622,129.992,5
0.056,0.989,0.634,-13.388,129.37,5
2,0.954,0.394,-9.846,87.502,9
32.6,0.708,0.647,-5.832,119.267,5
39,0.012,0.33,-10.362,174.636,9
36.375,0.086,0.595,-5.142,109.1,9
63.5,0.08,0.816,-6.452,126.447,1
0,0.995,0.558,-21.911,142.289,5
38,0.866,0.618,-9.824,106.906,10
44,0.362,0.483,-6.083,161.02,0
57,0.002,0.503,-2.888,183.601,1
62,0.008,0.274,-4.388,179.067,2
36,0.751,0.536,-24.76,148.165,4
55.286,0.168,0.532,-4.266,140.357,2
36,0.346,0.386,-6.094,173.104,9
65,0.356,0.557,-5.134,125.324,4
56,0.009,0.731,-6.671,128.04,2
60.8,0.051,0.571,-4.591,130.108,4
61.625,0.195,0.569,-5.413,124.575,1
65,0.953,0.493,-12.815,79.959,2
45.167,0.326,0.505,-6.21,136.641,0
44,0.958,0.531,-20.792,80.418,0
44,0.772,0.509,-7.958,124.678,0
42.857,0.673,0.55,-10.514,110.429,9
52,0.024,0.785,-13.945,119.983,10
48,0.182,0.516,-3.981,130.514,6
56.5,0.64,0.783,-6.063,137.506,5
0,0.994,0.446,-19.325,88.434,11
61.475,0.439,0.565,-6.904,118.626,0
0.222,0.981,0.451,-14.772,87.901,7
0.5,0.995,0.553,-12.223,115.764,3
52.143,0.002,0.492,-3.833,120.986,1
48.667,0,0.43,-4.866,139.784,6
38,0.022,0.815,-10.283,119.029,11
0,0.897,0.534,-9.818,93.317,1
61,0.804,0.295,-16.632,150.454,4
48.8,0.097,0.711,-5.821,85.612,11
5,0.979,0.83,-13.366,106.533,8
47,0.128,0.722,-5.601,118.804,1
28,0.599,0.581,-15.327,145.918,7
