popularity,acousticness,danceability,loudness,tempo,key,,,popround,acouround,danceround,loudround,temporound,key
41.75,0.03269,0.851,-11.60925,133.01425,9,,,41.75,0.033,0.851,-11.609,133.014,9
63.86956522,0.266721304,0.637130435,-7.958130435,121.3756304,0,,,63.87,0.267,0.637,-7.958,121.376,0
57.5,0.443,0.7175,-8.5365,97.2875,3,,,57.5,0.443,0.718,-8.537,97.288,3
69.30769231,0.112184615,0.733730769,-5.134038462,123.0933846,1,,,69.308,0.112,0.734,-5.134,123.093,1
51,0.128,0.768,-6.543,98.963,11,,,51,0.128,0.768,-6.543,98.963,11
63,0.14,0.897,-13.63,95.02,1,,,63,0.14,0.897,-13.63,95.02,1
31,1.18E-05,0.451,-11.616,103.893,1,,,31,0,0.451,-11.616,103.893,1
41,9.03E-06,0.349,-12.339,114.581,9,,,41,0,0.349,-12.339,114.581,9
52.11111111,0.197222222,0.74,-8.151888889,99.07033333,10,,,52.111,0.197,0.74,-8.152,99.07,10
25,0.0645,0.671,-11.549,125.829,9,,,25,0.065,0.671,-11.549,125.829,9
48,0.762,0.712,-9.18,133.444,7,,,48,0.762,0.712,-9.18,133.444,7
42,0.00857,0.5535,-8.0475,128.4775,8,,,42,0.009,0.554,-8.048,128.478,8
54,0.13795,0.649,-5.637,122.3495,1,,,54,0.138,0.649,-5.637,122.35,1
68,0.0166,0.764,-4.274,150.021,6,,,68,0.017,0.764,-4.274,150.021,6
69.83333333,0.527466667,0.585,-9.008666667,109.5878333,1,,,69.833,0.527,0.585,-9.009,109.588,1
42.53846154,0.073376923,0.780538462,-6.487769231,122.0759231,1,,,42.538,0.073,0.781,-6.488,122.076,1
37.23333333,0.030979733,0.793266667,-9.0515,129.2988333,11,,,37.233,0.031,0.793,-9.052,129.299,11
60,0.103,0.834,-6.258,95.993,0,,,60,0.103,0.834,-6.258,95.993,0
57,0.463,0.697,-9.856,119.951,10,,,57,0.463,0.697,-9.856,119.951,10
70,0.952,0.748,-12.074,77.009,8,,,70,0.952,0.748,-12.074,77.009,8
66,0.637,0.597,-7.219,145.826,1,,,66,0.637,0.597,-7.219,145.826,1
66,0.139,0.816,-5.998,171.028,1,,,66,0.139,0.816,-5.998,171.028,1
31,0.179,0.744,-8.867,94.801,11,,,31,0.179,0.744,-8.867,94.801,11
49,0.34703,0.61025,-8.21425,101.6388,10,,,49,0.347,0.61,-8.214,101.639,10
62,0.545,0.817,-6.585,70.949,0,,,62,0.545,0.817,-6.585,70.949,0
59,0.0729,0.786,-4.247,105.078,2,,,59,0.073,0.786,-4.247,105.078,2
33.66666667,0.030186667,0.596,-9.655333333,132.0906667,2,,,33.667,0.03,0.596,-9.655,132.091,2
67.66666667,0.033133333,0.864333333,-8.401333333,90.15666667,0,,,67.667,0.033,0.864,-8.401,90.157,0
66,0.404,0.711,-6.81,108.02,11,,,66,0.404,0.711,-6.81,108.02,11
51,0.232,0.685,-8.679,90.4195,7,,,51,0.232,0.685,-8.679,90.42,7
25.11111111,0.218107778,0.632333333,-8.077222222,111.3006667,2,,,25.111,0.218,0.632,-8.077,111.301,2
39,0.198,0.885,-6.663,95.402,6,,,39,0.198,0.885,-6.663,95.402,6
66.64,0.2533864,0.730093333,-7.011053333,118.7338667,5,,,66.64,0.253,0.73,-7.011,118.734,5
27.5,0.132125,0.695,-7.848,125.9155,2,,,27.5,0.132,0.695,-7.848,125.916,2
53.42307692,0.026354052,0.402596154,-4.427519231,144.2214615,0,,,53.423,0.026,0.403,-4.428,144.221,0
29,0.0149,0.499,-7.903,111.949,2,,,29,0.015,0.499,-7.903,111.949,2
54,0.947,0.549,-7.778,119.58,0,,,54,0.947,0.549,-7.778,119.58,0
41.9047619,0.025411257,0.512666667,-9.317571429,145.6501905,2,,,41.905,0.025,0.513,-9.318,145.65,2
33,0.0126,0.444,-7.775,100.811,2,,,33,0.013,0.444,-7.775,100.811,2
59.125,0.6258,0.4695,-8.29675,119.454125,2,,,59.125,0.626,0.47,-8.297,119.454,2
48,0.03,0.683,-9.034,119.504,2,,,48,0.03,0.683,-9.034,119.504,2
37,0.854,0.507,-11.857,97.231,7,,,37,0.854,0.507,-11.857,97.231,7
3,0.955,0.717,-15.267,84.079,3,,,3,0.955,0.717,-15.267,84.079,3
62.66666667,0.833666667,0.792666667,-12.98133333,124.9906667,0,,,62.667,0.834,0.793,-12.981,124.991,0
47,0.754,0.542,-7.491,112.789,2,,,47,0.754,0.542,-7.491,112.789,2
49.47457627,0.109087908,0.519525424,-9.76320339,124.4771017,6,,,49.475,0.109,0.52,-9.763,124.477,6
0,0.597,0.303,-11.037,178.465,0,,,0,0.597,0.303,-11.037,178.465,0
66.33333333,0.1363,0.676,-8.663333333,101.286,2,,,66.333,0.136,0.676,-8.663,101.286,2
59.33333333,0.203033333,0.390666667,-4.385,152.9816667,7,,,59.333,0.203,0.391,-4.385,152.982,7
